TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	7.5.0	ef6ba8551e525a700546d6bdb7ad6766115209cc	2026-05-02T19:11:45+08:00	27.030286s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	7.5.0	069631e2ecfedc000ffb92c67207bea81380f020	2026-05-02T19:11:55+08:00	17.030284s	1319
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	7.5.0	fe6621befaefdfd03a6fa5c10318b7e6583fa3d2	2026-05-02T19:12:11+08:00	1.030287s	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	7.5.0	bd8a0aabd08fd77687f788e0b45858ccd3516e4d	2026-05-02T19:11:48+08:00	24.030288s	0
