TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	8.1.0	fca469ca33eb5d8b5e0891b507c87709a00b0e81	2026-05-02 20:38:14	26.702889s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	8.1.0	945d07c5d5c7a1ae212f6013adfb187f2de24b23	2026-05-02 20:38:27	13.702884s	1064
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	8.1.0	c1838001167c8ba83af759085a71ad61e6c2a5af	2026-05-02 20:38:38	2.702893s	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	8.1.0	ba73b0d92d94463d74543550d0efe61fa6a6f416	2026-05-02 20:38:17	23.702892s	0
