TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	7.5.7	48eca84b9e2fefe238f46cbb29ea795609e6a606	2026-05-02T20:37:12+08:00	30.564334s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	7.5.7	972e642ba15f36f6a96c0b9858a6572aba6a8a19	2026-05-02T20:37:26+08:00	16.56433s	1089
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	7.5.7	d187d42d81ac35238a41cde42fbfdab8433c9dec	2026-05-02T20:37:40+08:00	2.564336s	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	7.5.7	7f1d4fd723efd08203884203ae15cf28e5d421be	2026-05-02T20:37:14+08:00	28.564335s	0
