TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	8.5.0	d190c0e9082de46128b756f93b1291768dda645a	2026-05-02 19:15:32	14.941361s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	8.5.0	d13e52ed6e22cc5789bed7c64c861578cd2ed55b	2026-05-02 19:15:38	8.941358s	504
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	8.5.0	6e12ba23c70f358f2ffbee837feac24118a3e988	2026-05-02 19:15:46	941.363ms	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	8.5.0	a2c58c94f89cbb410e66d8f85c236308d6fc64f0	2026-05-02 19:15:34	12.941362s	0
