TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	8.5.6	21bd0a379e5f9d2be11a92d17645a6ada19f02c1	2026-05-02 19:16:18	23.880263s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	8.5.6	ae18096e023780bb56bfce33698abec0d4640d0a	2026-05-02 19:16:32	9.880259s	1115
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	8.5.6	836d94d143d2ed30b56781bad12e4decb1621d7c	2026-05-02 19:16:40	1.880264s	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	8.5.6	74a92daaed2c91b11c6253593e471cd725a7b3d4	2026-05-02 19:16:23	18.880264s	0
