VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
		"status-host": "0.0.0.0",
		"status-port": 10080
	},
	"store": "tikv",
	"stores-refresh-interval": 60,
	"table-column-count-limit": 1017,
	"temp-dir": "/tmp/tidb",
	"tidb-edition": "",
	"tidb-enable-exit-check": false,
	"tidb-max-reuse-chunk": 64,
	"tidb-max-reuse-column": 256,
	"tidb-release-version": "",
	"tikv-client": {
		"async-commit": {
			"allowed-clock-drift": 500000000,
			"keys-limit": 256,
			"safe-window": 2000000000,
			"total-key-size-limit": 4096
		},
		"batch-policy": "standard",
		"batch-wait-size": 8,
		"commit-timeout": "41s",
		"copr-cache": {
			"capacity-mb": 1000
		},
		"copr-req-timeout": 60000000000,
