VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
performance_schema_max_cond_classes	NONE	80	80	NULL	NULL	NULL	YES
performance_schema_max_cond_instances	NONE	3504	3504	NULL	NULL	NULL	YES
performance_schema_max_file_classes	NONE	50	50	NULL	NULL	NULL	YES
performance_schema_max_file_handles	NONE	32768	32768	NULL	NULL	NULL	YES
performance_schema_max_file_instances	NONE	7693	7693	NULL	NULL	NULL	YES
performance_schema_max_mutex_classes	NONE	200	200	NULL	NULL	NULL	YES
performance_schema_max_mutex_instances	NONE	15906	15906	NULL	NULL	NULL	YES
performance_schema_max_rwlock_classes	NONE	40	40	NULL	NULL	NULL	YES
performance_schema_max_rwlock_instances	NONE	9102	9102	NULL	NULL	NULL	YES
performance_schema_max_socket_classes	NONE	10	10	NULL	NULL	NULL	YES
performance_schema_max_socket_instances	NONE	322	322	NULL	NULL	NULL	YES
performance_schema_max_stage_classes	NONE	150	150	NULL	NULL	NULL	YES
performance_schema_max_statement_classes	NONE	168	168	NULL	NULL	NULL	YES
performance_schema_max_table_handles	NONE	4000	4000	NULL	NULL	NULL	YES
performance_schema_max_table_instances	NONE	12500	12500	NULL	NULL	NULL	YES
performance_schema_max_thread_classes	NONE	50	50	NULL	NULL	NULL	YES
performance_schema_max_thread_instances	NONE	402	402	NULL	NULL	NULL	YES
performance_schema_session_connect_attrs_size	NONE	512	512	NULL	NULL	NULL	YES
performance_schema_setup_actors_size	NONE	100	100	NULL	NULL	NULL	YES
performance_schema_setup_objects_size	NONE	100	100	NULL	NULL	NULL	YES
performance_schema_users_size	NONE	100	100	NULL	NULL	NULL	YES
pid_file	NONE	/usr/local/mysql/data/${LOCALHOST_NAME}.pid	/usr/local/mysql/data/${LOCALHOST_NAME}.pid	NULL	NULL	NULL	YES
plugin_audit_log_buffer_size	INSTANCE	30	0	NULL	NULL	NULL	NO
plugin_audit_log_flush_interval	INSTANCE	30	30	NULL	NULL	NULL	NO
plugin_dir	INSTANCE	/data/deploy/plugin	/data/deploy/plugin	NULL	NULL	NULL	NO
plugin_load	INSTANCE			NULL	NULL	NULL	NO
port	NONE	4000	4000	0	65535	NULL	NO
preload_buffer_size	SESSION,GLOBAL	32768	32768	NULL	NULL	NULL	YES
profiling	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
profiling_history_size	SESSION,GLOBAL	15	15	NULL	NULL	NULL	YES
protocol_version	NONE	10	10	NULL	NULL	NULL	YES
pseudo_slave_mode	SESSION	OFF	OFF	NULL	NULL	NULL	YES
pseudo_thread_id	SESSION			NULL	NULL	NULL	YES
query_alloc_block_size	SESSION,GLOBAL	8192	8192	NULL	NULL	NULL	YES
query_cache_limit	GLOBAL	1048576	1048576	NULL	NULL	NULL	YES
query_cache_min_res_unit	GLOBAL	4096	4096	NULL	NULL	NULL	YES
query_cache_size	SESSION,GLOBAL	1048576	1048576	NULL	NULL	NULL	YES
query_cache_type	SESSION,GLOBAL	OFF	OFF	NULL	NULL	OFF,ON,DEMAND	YES
query_cache_wlock_invalidate	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
query_prealloc_size	SESSION,GLOBAL	8192	8192	NULL	NULL	NULL	YES
rand_seed1	SESSION	0	0	0	2147483647	NULL	NO
rand_seed2	SESSION	0	0	0	2147483647	NULL	NO
range_alloc_block_size	SESSION,GLOBAL	4096	4096	NULL	NULL	NULL	YES
rbr_exec_mode	SESSION			NULL	NULL	NULL	YES
read_buffer_size	SESSION,GLOBAL	131072	131072	NULL	NULL	NULL	YES
read_only	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
read_rnd_buffer_size	SESSION,GLOBAL	262144	262144	NULL	NULL	NULL	YES
relay_log_info_file	NONE	relay-log.info	relay-log.info	NULL	NULL	NULL	YES
relay_log_info_repository	GLOBAL	FILE	FILE	NULL	NULL	NULL	YES
relay_log_purge	GLOBAL	ON	ON	NULL	NULL	NULL	YES
relay_log_recovery	NONE	0	0	NULL	NULL	NULL	YES
relay_log_space_limit	NONE	0	0	NULL	NULL	NULL	YES
report_port	NONE	3306	3306	NULL	NULL	NULL	YES
require_secure_transport	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
rewriter_enabled	GLOBAL			NULL	NULL	NULL	YES
rewriter_verbose	GLOBAL			NULL	NULL	NULL	YES
