Type	Instance	Name	Value
pd	${LOCALHOST}:2379	schedule.enable-make-up-replica	true
pd	${LOCALHOST}:2379	schedule.enable-one-way-merge	false
pd	${LOCALHOST}:2379	schedule.enable-remove-down-replica	true
pd	${LOCALHOST}:2379	schedule.enable-remove-extra-replica	true
pd	${LOCALHOST}:2379	schedule.enable-replace-offline-replica	true
pd	${LOCALHOST}:2379	schedule.enable-tikv-split-region	true
pd	${LOCALHOST}:2379	schedule.enable-witness	false
pd	${LOCALHOST}:2379	schedule.high-space-ratio	0.7
pd	${LOCALHOST}:2379	schedule.hot-region-cache-hits-threshold	3
pd	${LOCALHOST}:2379	schedule.hot-region-schedule-limit	4
pd	${LOCALHOST}:2379	schedule.hot-regions-reserved-days	7
pd	${LOCALHOST}:2379	schedule.hot-regions-write-interval	10m0s
pd	${LOCALHOST}:2379	schedule.leader-schedule-limit	4
pd	${LOCALHOST}:2379	schedule.leader-schedule-policy	count
pd	${LOCALHOST}:2379	schedule.low-space-ratio	0.8
pd	${LOCALHOST}:2379	schedule.max-affinity-merge-region-size	256
pd	${LOCALHOST}:2379	schedule.max-merge-region-keys	540000
pd	${LOCALHOST}:2379	schedule.max-merge-region-size	54
pd	${LOCALHOST}:2379	schedule.max-movable-hot-peer-size	512
pd	${LOCALHOST}:2379	schedule.max-pending-peer-count	64
pd	${LOCALHOST}:2379	schedule.max-snapshot-count	64
pd	${LOCALHOST}:2379	schedule.max-store-down-time	30m0s
pd	${LOCALHOST}:2379	schedule.max-store-preparing-time	48h0m0s
pd	${LOCALHOST}:2379	schedule.merge-schedule-limit	8
pd	${LOCALHOST}:2379	schedule.patrol-region-interval	100ms
pd	${LOCALHOST}:2379	schedule.patrol-region-worker-count	1
pd	${LOCALHOST}:2379	schedule.region-schedule-limit	2048
pd	${LOCALHOST}:2379	schedule.region-score-formula-version	v2
pd	${LOCALHOST}:2379	schedule.replica-schedule-limit	64
pd	${LOCALHOST}:2379	schedule.scheduler-max-waiting-operator	5
pd	${LOCALHOST}:2379	schedule.schedulers-v2	[{"args":null,"args-payload":"","disable":false,"type":"balance-region"},{"args":null,"args-payload":"","disable":false,"type":"balance-leader"},{"args":null,"args-payload":"","disable":false,"type":"hot-region"},{"args":null,"args-payload":"","disable":false,"type":"evict-slow-store"},{"args":null,"args-payload":"","disable":false,"type":"evict-stopping-store"}]
pd	${LOCALHOST}:2379	schedule.slow-store-evicting-affected-store-ratio-threshold	0.3
pd	${LOCALHOST}:2379	schedule.split-merge-interval	1h0m0s
pd	${LOCALHOST}:2379	schedule.store-limit-version	v1
pd	${LOCALHOST}:2379	schedule.store-limit.1.add-peer	15
pd	${LOCALHOST}:2379	schedule.store-limit.1.remove-peer	15
pd	${LOCALHOST}:2379	schedule.store-limit.132.add-peer	30
pd	${LOCALHOST}:2379	schedule.store-limit.132.remove-peer	30
pd	${LOCALHOST}:2379	schedule.switch-witness-interval	1h0m0s
pd	${LOCALHOST}:2379	schedule.tolerant-size-ratio	0
pd	${LOCALHOST}:2379	schedule.witness-schedule-limit	4
pd	${LOCALHOST}:2379	security.SSLCABytes	null
pd	${LOCALHOST}:2379	security.SSLCertBytes	null
pd	${LOCALHOST}:2379	security.SSLKEYBytes	null
pd	${LOCALHOST}:2379	security.cacert-path	
pd	${LOCALHOST}:2379	security.cert-allowed-cn	null
pd	${LOCALHOST}:2379	security.cert-path	
pd	${LOCALHOST}:2379	security.encryption.data-encryption-method	plaintext
pd	${LOCALHOST}:2379	security.encryption.data-key-rotation-period	168h0m0s
pd	${LOCALHOST}:2379	security.encryption.master-key.endpoint	
pd	${LOCALHOST}:2379	security.encryption.master-key.key-id	
pd	${LOCALHOST}:2379	security.encryption.master-key.path	
pd	${LOCALHOST}:2379	security.encryption.master-key.region	
pd	${LOCALHOST}:2379	security.encryption.master-key.type	plaintext
pd	${LOCALHOST}:2379	security.key-path	
pd	${LOCALHOST}:2379	security.redact-info-log	false
pd	${LOCALHOST}:2379	tick-interval	500ms
pd	${LOCALHOST}:2379	tso-proxy-recv-from-client-timeout	1h0m0s
pd	${LOCALHOST}:2379	tso-save-interval	5s
pd	${LOCALHOST}:2379	tso-update-physical-interval	50ms
