TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	7.1.6	d347eedb7d296ea3bdc0290d0427bf7bd9a8ebf4	2026-05-02T20:34:44+08:00	30.808149s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	7.1.6	f00a5848631bbf0a8b76bfea9b80f5790cb50286	2026-05-02T20:34:59+08:00	15.808144s	2262987
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	7.1.6	ba9fab8d27a10c2345af6a8ac83212ba3397de2c	2026-05-02T20:35:12+08:00	2.808153s	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	7.1.6	3a9f24b7e7cb5cc18b4c0b1d799b666cb1aa2175	2026-05-02T20:34:47+08:00	27.808152s	0
