TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
pd	${LOCALHOST}:2379	${LOCALHOST}:2379	6.5.12	055cdf0173a0d0dfff1a2c5cbbcbd4eb886edfcb	2026-05-02T19:09:40+08:00	23.799511s	0
tidb	${LOCALHOST}:4000	${LOCALHOST}:10080	6.5.12	2ec3e3e04536ee5dafa11663e32632378a1a1be8	2026-05-02T19:09:50+08:00	13.799499s	1057263
tiflash	${LOCALHOST}:3930	${LOCALHOST}:20292	6.5.12	ca5927ad90463b8f70eb8f503ccfc287c359cef0	2026-05-02T19:10:01+08:00	2.799515s	0
tikv	${LOCALHOST}:20160	${LOCALHOST}:20180	6.5.12	1f50db560777fc878f79e18abadf750b0f47f5aa	2026-05-02T19:09:43+08:00	20.799514s	0
